Class,Review
1,the rock is destined to be the 21st century new conan and that he going to make splash even greater than arnold schwarzenegger jean claud van damme or steven segal
1,the gorgeously elaborate continuation of the lord of the ring trilogy is so huge that column of word cannot adequately describe co writer director peter jackson expanded vision of r tolkien middle earth
1,effective but too tepid biopic
1,if you sometimes like to go to the movie to have fun wasabi is good place to start
1,emerges a something rare an issue movie that so honest and keenly observed that it doesn feel like one
1,the film provides some great insight into the neurotic mindset of all comic even those who have reached the absolute top of the game
1,offer that rare combination of entertainment and education
1,perhaps no picture ever made ha more literally showed that the road to hell is paved with good intention
1,steer turn in snappy screenplay that curl at the edge it so clever you want to hate it but he somehow pull it off
1,take care of my cat offer refreshingly different slice of asian cinema
1,this is film well worth seeing talking and singing head and all
1,what really surprise about wisegirls is it low key quality and genuine tenderness
1,wendigo is why we go to the cinema to be fed through the eye the heart the mind
1,one of the greatest family oriented fantasy adventure movie ever
1,ultimately it ponders the reason we need story so much
1,an utterly compelling who wrote it in which the reputation of the most famous author who ever lived come into question
1,illuminating if overly talky documentary
1,a masterpiece four year in the making
1,the movie ripe enrapturing beauty will tempt those willing to probe it inscrutable mystery
1,offer breath of the fresh air of true sophistication
1,a thoughtful provocative insistently humanizing film
1,with cast that includes some of the top actor working in independent film lovely amazing involves u because it is so incisive so bleakly amusing about how we go about our life
1,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass
1,not for everyone but for those with whom it will connect it a nice departure from standard moviegoing fare
1,score few point for doing what it doe with dedicated and good hearted professionalism
1,occasionally melodramatic it also extremely effective
1,spiderman rock
1,an idealistic love story that brings out the latent 15 year old romantic in everyone
1,at about 95 minute treasure planet maintains brisk pace a it race through the familiar story however it lack grandeur and that epic quality often associated with stevenson tale a well a with earlier disney effort
1,it help that lil bow wow tone down his pint sized gangsta act to play someone who resembles real kid
1,guaranteed to move anyone who ever shook rattled or rolled
1,a masterful film from master filmmaker unique in it deceptive grimness compelling in it fatalist worldview
1,light cute and forgettable
1,if there a way to effectively teach kid about the danger of drug think it in project like the unfortunately rated paid
1,while it would be easy to give crush the new title of two wedding and funeral it a far more thoughtful film than any slice of hugh grant whimsy
1,though everything might be literate and smart it never took off and always seemed static
1,cantet perfectly capture the hotel lobby two lane highway and roadside cafe that permeate vincent day
1,m fulford wierzbicki is almost spooky in her sulky calculating lolita turn
1,though it is by no mean his best work laissez passer is distinguished and distinctive effort by bona fide master fascinating film replete with reward to be had by all willing to make the effort to reap them
1,like most bond outing in recent year some of the stunt are so outlandish that they border on being cartoonlike heavy reliance on cgi technology is beginning to creep into the series
1,newton draw our attention like magnet and act circle around her better known co star mark wahlberg
1,the story loses it bite in last minute happy ending that even le plausible than the rest of the picture much of the way though this is refreshingly novel ride
1,fuller would surely have called this gutsy and at time exhilarating movie great yarn
1,compleja intelectualmente retadora el ladrón de orquídeas e uno de esos filmes que vale la pena ver precisamente por su originalidad
1,the film make strong case for the importance of the musician in creating the motown sound
1,karmen move like rhythm itself her lip chanting to the beat her long braided hair doing little to wipe away the jeweled bead of sweat
1,gosling provides an amazing performance that dwarf everything else in the film
1,a real movie about real people that give u rare glimpse into culture most of u don know
1,tender yet lacerating and darkly funny fable
1,may be spoofing an easy target those old 50 giant creature feature but it acknowledges and celebrates their cheesiness a the reason why people get kick out of watching them today
1,an engaging overview of johnson eccentric career
1,in it ragged cheap and unassuming way the movie work
1,some actor have so much charisma that you be happy to listen to them reading the phone book hugh grant and sandra bullock are two such likeable actor
1,sandra nettelbeck beautifully orchestrates the transformation of the chilly neurotic and self absorbed martha a her heart begin to open
1,behind the snow game and lovable siberian husky plus one sheep dog the picture host parka wrapped dose of heart
1,everytime you think undercover brother ha run out of steam it find new way to surprise and amuse
1,manages to be original even though it rip off many of it idea
1,singer composer bryan adam contributes slew of song few potential hit few more simply intrusive to the story but the whole package certainly capture the intended er spirit of the piece
1,you think by now america would have had enough of plucky british eccentric with heart of gold yet the act is still charming here
1,whether or not you re enlightened by any of derrida lecture on the other and the self derrida is an undeniably fascinating and playful fellow
1,a pleasant enough movie held together by skilled ensemble actor
1,this is the best american movie about troubled teen since 1998 whatever
1,disney ha always been hit or miss when bringing beloved kid book to the screen tuck everlasting is little of both
1,just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing
1,the animated subplot keenly depicts the inner struggle of our adolescent hero insecure uncontrolled and intense
1,the invincible werner herzog is alive and well and living in la
1,morton is great actress portraying complex character but morvern callar grows le compelling the farther it meander from it shocking start
1,part of the charm of satin rouge is that it avoids the obvious with humour and lightness
1,son of the bride may be good half hour too long but come replete with flattering sense of mystery and quietness
1,a simmering psychological drama in which the burst of sudden violence are all the more startling for the slow buildup that ha preceded them
1,a taut intelligent psychological drama
1,a compelling coming of age drama about the arduous journey of sensitive young girl through series of foster home and fierce struggle to pull free from her dangerous and domineering mother hold over her
1,a truly moving experience and perfect example of how art when done right can help heal clarify and comfort
1,this delicately observed story deeply felt and masterfully stylized is triumph for it maverick director
1,at heart the movie is deftly wrought suspense yarn whose richer shading work a coloring rather than substance
1,the appearance of treebeard and gollum expanded role will either have you loving what you re seeing or rolling your eye loved it gollum performance is incredible
1,a screenplay more ingeniously constructed than memento
1,if this movie were book it would be page turner you can wait to see what happens next
1,haneke challenge u to confront the reality of sexual aberration
1,absorbing and disturbing perhaps more disturbing than originally intended but little clarity would have gone long way
1,it the best film of the year so far the benchmark against which all other best picture contender should be measured
1,painful to watch but viewer willing to take chance will be rewarded with two of the year most accomplished and riveting film performance
1,this is startling film that give you fascinating albeit depressing view of iranian rural life close to the iraqi border
1,an imaginative comedy thriller
1,a few artsy flourish aside narc is a gritty a movie get these day
1,while the isle is both preposterous and thoroughly misogynistic it vista are incredibly beautiful to look at
1,together tok and orchestrate buoyant darkly funny dance of death in the process they demonstrate that there still lot of life in hong kong cinema
1,director kapur is filmmaker with real flair for epic landscape and adventure and this is better film than his earlier english language movie the overpraised elizabeth
1,the movie is blast of educational energy a bouncy animation and catchy song escort you through the entire 85 minute
1,a sport movie with action that exciting on the field and story you care about off it
1,doug liman the director of bourne directs the traffic well get nice wintry look from his location absorbs u with the movie spycraft and us damon ability to be focused and sincere
1,the tenderness of the piece is still intact
1,katz us archival footage horrifying document of lynching still photograph and charming old reel to reel recording of meeropol entertaining his child to create his song history but most powerful of all is the song itself
1,like the film almost anthropologically detailed realization of early 80 suburbia it significant without being overstated
1,while mcfarlane animation lift the film firmly above the level of other coming of age film it also so jarring that it hard to get back into the boy story
1,if nothing else this movie introduces promising unusual kind of psychological horror
1,in normal screen process these bromide would be barely enough to sustain an interstitial program on the discovery channel but in imax 3 the clichés disappear into the vertiginous perspective opened up by the photography
1,writer director burger imaginatively fan the ember of dormant national grief and curiosity that ha calcified into chronic cynicism and fear
1,roller coaster ride of movie
1,i enjoyed time of favor while wa watching it but wa surprised at how quickly it faded from my memory
1,chicago is sophisticated brash sardonic completely joyful in it execution
1,steve irwin method is ernest hemmingway at accelerated speed and volume
1,a refreshing korean film about five female high school friend who face an uphill battle when they try to take their relationship into deeper water
1,on the surface it a lover on the run crime flick but it ha lot in common with piesiewicz and kieslowski earlier work film like the double life of veronique
1,the value that have held the enterprise crew together through previous adventure and peril do so again courage self sacrifice and patience under pressure
1,if it possible for sequel to outshine the original then sl2 doe just that
1,a romantic comedy that operates by the rule of it own self contained universe
1,4 friend 2 couple 2000 mile and all the pabst blue ribbon beer they can drink it the ultimate redneck road trip
1,the film is often filled with sense of pure wonderment and excitement not often seen in today cinema du sarcasm
1,it might be tempting to regard mr andrew and his collaborator a oddball but mr earnhart quizzical charming movie allows u to see them finally a artist
1,a feel good picture in the best sense of the term
1,edited and shot with syncopated style mimicking the work of his subject pray turn the idea of the documentary on it head making it rousing invigorating fun lacking any mtv puffery
1,a mostly intelligent engrossing and psychologically resonant suspenser
1,it this memory a identity obviation that give secret life it intermittent unease reaffirming that long held illusion are indeed reality and that erasing them recasts the self
1,hip hop ha history and it a metaphor for this love story
1,in scope ambition and accomplishment child of the century take kurys career to whole new level
1,this may not have the dramatic gut wrenching impact of other holocaust film but it a compelling story mainly because of the way it told by the people who were there
1,between the drama of cube personal revelation regarding what the shop mean in the big picture iconic character gambol fluidly through the story with charming result
1,a gentle compassionate drama about grief and healing
1,somewhere short of tremor on the modern scene neither a funny nor a clever though an agreeably unpretentious way to spend ninety minute
1,digital video documentary about stand up comedian is great glimpse into very different world
1,unlike most teen flick swimming take it time to tell it story cast mostly little known performer in key role and introduces some intriguing ambiguity
1,an enthralling playful film that constantly frustrates our desire to know the truth about this man while deconstructing the very format of the biography in manner that derrida would doubtless give his blessing to
1,extreme ops exceeds expectation good fun good action good acting good dialogue good pace good cinematography
1,you should pay nine buck for this because you can hear about suffering afghan refugee on the news and still be unaffected drama like this make it human
1,a thunderous ride at first quiet cadence of pure finesse are few and far between their shortage dilutes the potency of otherwise respectable action still this flick is fun and host to some truly excellent sequence
1,it obviously struck responsive chord with many south korean and should work it magic in other part of the world
1,run don walk to see this barbed and bracing comedy on the big screen
1,a classy item by legend who may have nothing left to prove but still ha the chop and drive to show how it done
1,it is nature against progress in fessenden horror trilogy this theme ha proved important to him and is especially so in the finale
1,it not exactly gourmet meal but the fare is fair even coming from the drive thru
1,this is what imax wa made for strap on pair of 3 goggles shut out the real world and take vicarious voyage to the last frontier space
1,merely a technical logistical feat russian ark mark cinematic milestone
1,schweiger is talented and terribly charismatic quality essential to both movie star and social anarchist
1,it a great deal of sizzle and very little steak but what spectacular sizzle it is in this incarnation it fizz is infectious
1,an original gem about an obsession with time
1,it will delight newcomer to the story and those who know it from bygone day
1,gloriously goofy and gory midnight movie stuff
1,the film overcomes the regular minefield of coming of age cliche with potent dos of honesty and sensitivity
1,if your sens haven been dulled by slasher film and gorefests if you re connoisseur of psychological horror this is your ticket
1,it a minor comedy that try to balance sweetness with coarseness while it paint sad picture of the single scene
1,it is intensely personal and yet unlike quill deftly show u the temper of the time
1,a lo fi a the special effect are the folk who cobbled nemesis together indulge the force of humanity over hardware in way that george lucas ha long forgotten
1,like mike doesn win any point for originality it doe succeed by following feel good formula with winning style and by offering it target audience of urban kid some welcome role model and optimism
1,it a hoot and half and great way for the american people to see what candidate is like when he not giving the same 15 cent stump speech
1,far from perfect but it heart is in the right place innocent and well meaning
1,a sad superior human comedy played out on the back road of life
1,waydowntown is by no mean perfect film but it boast huge charm factor and smack of originality
1,tim allen is great in his role but never hog the scene from his fellow cast a there are plenty of laugh and good line for everyone in this comedy
1,more load of enjoyable conan esque claptrap than the punishing special effect soul assault the mummy picture represent
1,enormously likable partly because it is aware of it own grasp of the absurd
1,here a british flick gleefully unconcerned with plausibility yet just a determined to entertain you
1,it an old story but lively script sharp acting and partially animated interlude make just kiss seem minty fresh
1,must be seen to be believed
1,ray liotta and jason patric do some of their best work in their underwritten role but don be fooled nobody deserves any prize here
1,everything that ha to do with yvan and charlotte and everything that ha to do with yvan rambunctious jewish sister and her non jew husband feel funny and true
1,sweet home alabama is what it is nice harmless date film
1,the year happiest surprise movie that deal with real subject in an always surprising way
1,fan of behan work and of irish movie in general will be rewarded by borstal boy
1,it mystery are transparently obvious and it too slowly paced to be thriller but it worth recommending because of two marvelous performance by michael caine and brendan fraser
1,the film is faithful to what one presumes are the book twin premise that we become who we are on the back of our parent but we have no idea who they were at our age and that time is fleeting and precious commodity no matter how old you are
1,stephen earnhart homespun documentary mule skinner blue ha nothing but love for it posse of trailer park denizen
1,a solidly seaworthy chiller
1,if you can get past the fantastical aspect and harsh reality of the isle you ll get sock you in the eye flick that is visual tour de force and story that is unlike any you will likely see anywhere else
1,there are a many miss a hit but ultimately it find humor in the foible of human behavior and it a welcome return to the root of genre that should depend on surprise
1,a well made thriller with certain level of intelligence and non reactionary morality
1,there enough science to make it count a educational and enough beauty to make it unforgettable
1,remains solid if somewhat heavy handed account of the near disaster done up by howard with steady if not very imaginative hand
1,makmalbaf follows resolutely realistic path in this uncompromising insight into the harsh existence of the kurdish refugee of iran borderland
1,for good chunk of it running time trapped is an effective and claustrophobic thriller
1,most of crush is clever and captivating romantic comedy with welcome pinch of tartness
1,nair doe capture the complexity of big family and it trial and tribulation
1,the seaside splendor and shallow beautiful people are nice to look at while you wait for the story to get going
1,rare is the urban comedy that even attempt the insight and honesty of this disarming indie
1,rank among willams best screen work
1,engagingly capture the maddening and magnetic ebb and flow of friendship
1,an experience so engrossing it is like being buried in new environment
1,it traditional moviemaking all the way but it done with lot of careful period attention a well a some very welcome wit
1,thoroughly enjoyable
1,maybe it just because this past year ha seen the release of some of the worst film comedy in decade but honestly analyze that really isn all that bad
1,a droll well acted character driven comedy with unexpected deposit of feeling
1,this is simply the most fun you ll ever have with documentary
1,a very funny movie
1,watching haneke film is aptly enough challenge and punishment but watching huppert great actress tearing into landmark role is riveting
1,a cop story that understands the medium amazingly well
1,one of the best most understated performance of jack nicholson career
1,britney ha been delivered to the big screen safe and sound the way we like our 20 year old superstar girl to travel on the fame freeway
1,those outside show business will enjoy close look at people they don really want to know
1,the kind of nervous film that will either give you mild headache or exhilarate you
1,watching beanie and his gang put together his slasher video from spare part and borrowed material is a much fun a it must have been for them to make it
1,child may not understand everything that happens m not sure even miyazaki himself doe but they will almost certainly be fascinated and undoubtedly delighted
1,a fascinating and fun film
1,tadpole is sophisticated funny and good natured treat slight but pleasure
1,this insightful oscar nominated documentary in which child on both side of the ever escalating conflict have their say away from watchful parental eye give peace yet another chance
1,i admired this work lot
1,whether you re moved and love it or bored or frustrated by the film you ll still feel something
1,there are enough moment of heartbreaking honesty to keep one glued to the screen
1,my goodness queen latifah ha lot to offer and she seemed to have no problem flaunting her natural gift she must have very strong back
1,a smart sweet and playful romantic comedy
1,australian actor director john polson and award winning english cinematographer giles nuttgens make terrific effort at disguising the obvious with energy and innovation
1,without heavy handedness dong provides perspective with his intelligent grasp of human foible and contradiction
1,solid lump in the throat family entertainment that derives it power by sticking to the fact
1,a an entertainment the movie keep you diverted and best of all it lightens your wallet without leaving sting
1,it is interesting and fun to see goodall and her chimpanzee on the bigger than life screen
1,it won bust your gut and it not intended to it merely blandly cinematic surgical examination of what make joke joke
1,a somewhat crudely constructed but gripping questing look at person so racked with self loathing he becomes an enemy to his own race
1,it extends the writing of jean genet and john rechy the film of fassbinder perhaps even the nocturnal work of goya
1,narc may not get an for originality but it wear it movie heritage like badge of honor
1,with the film striking ending one realizes that we have long way to go before we fully understand all the sexual permutation involved
1,drumline is entertaining for what it doe and admirable for what it doesn do
1,at it best early on a it play the culture clash between the brother
1,rare beautiful film
1,an unabashedly schmaltzy and thoroughly enjoyable true story
1,a thoughtful look at painful incident that made headline in 1995
1,you walk out of the good girl with mixed emotion disapproval of justine combined with tinge of understanding for her action
1,tsai ming liang ha taken his trademark style and refined it to crystalline point
1,purely propaganda work of unabashed hero worship it is nonetheless and likely inadvertently timely and invaluable implicit reminder of the role that s foreign policy ha played in the rise of castro
1,now trimmed by about 20 minute this lavish three year old production ha enough grandeur and scale to satisfy a grown up escapism
1,we get some truly unique character study and cross section of americana that hollywood couldn possibly fictionalize and be believed
1,though this film can be clumsy it ambition are equally and admirably uncommercial
1,daring mesmerizing and exceedingly hard to forget
1,the dangerous life of altar boy take on adolescence feel painfully true
1,moore performance impress almost a much a her work with haynes in 1995 safe
1,visit spy movie territory like novel you can put down examines footnote to history seldom brought to light on the screen and keep you guessing from first frame to last
1,an absorbing slice of depression life that touch nerve and ring true
1,mr parker ha brilliantly updated his source and grasped it essence composing sorrowful and hilarious tone poem about alienated labor or an absurdist workplace sitcom
1,the result is something quite fresh and delightful
1,all but the most persnickety preteen should enjoy this nonthreatening but thrilling adventure
1,despite it many infuriating flaw not the least of which is amy self absorbed personality amy o honesty will win you over
1,this is one of polanski best film
1,day is not great bond movie but it is good bond movie which still make it much better than your typical bond knock offs
1,polished korean political action film is just a good and bad a hollywood action epic is this progress
1,elling portrayed with quiet fastidiousness by per christian ellefsen is truly singular character one whose frailty are only slightly magnified version of the one that vex nearly everyone
1,denis and co writer michele petin impeccable screenplay penetrates with rawness that that is both unflinching and tantalizing lead provocatuers testud and parmentier give superlative performance
1,an absorbing trip into the mind and motivation of people under stress a well a keen unsentimental look at variation on the theme of motherhood
1,i admired it particularly that unexpected downer of an ending
1,the passion aroused by the discord between old and new culture are set against the strange stark beauty of the mideast desert so lovingly and perceptively filmed that you can almost taste the desiccated air
1,remarkably accessible and affecting
1,never mind whether you buy the stuff about barris being cia hit man the kooky yet shadowy vision clooney sustains throughout is daring inventive and impressive
1,a triumph of art direction over narrative but what art direction
1,behan himself knew how to spin tale and one can help but think he appreciate this attempt to turn his life into art
1,jirí hubac script is gem his character are engaging intimate and the dialogue is realistic and greatly moving the scope of the silberstein family is large and we grow attached to their life full of strength warmth and vitality
1,moore complex and important film is also believe it or not immensely entertaining david and goliath story that still very much playing itself out
1,the additional storyline is interesting and entertaining but it doesn have the same magical quality a the beginning of the story like the new footage and still love the old stuff
1,though mama take bit too long to find it rhythm and third act plot development is somewhat melodramatic it ribald humor and touching nostalgia are sure to please anyone in search of jules and jim for the new millennium
1,you might not buy the idea but you ll definitely want the shirt
1,provides an intriguing window into the imagination and hermetic analysis of todd solondz
1,windtalker is shapelessly gratifying the kind of movie that invite you to pick apart it fault even a you have to admit that somehow it hit you where you live
1,present an astute appraisal of middle american musical torpor and the desperate struggle to escape it
1,just what make u happy anyway
1,a thoughtful moving piece that face difficult issue with honesty and beauty
1,one of the greatest romantic comedy of the past decade
1,you wouldn call the good girl date movie an anti date movie is more like it but when it good it good and horrid
1,benefit from strong performance from zhao but it dong jie face you remember at the end
1,this is film brimming with detail and nuance and one that speaks volume about the ability of the human spirit to find solace in event that could easily crush it forever
1,the director steven shainberg ha succeeded by focusing intently on his character making them quirky individual rather than figure of fun
1,it ultimately stand forth a an important chronicle of the abuse of one of latin america most oppressive regime
